Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20160326,PAIDOFF,1000,30,1/9/2017,2/7/2017,2/6/2017 10:00,,27,college,male
xqd20160327,PAIDOFF,900,30,1/10/2017,2/8/2017,2/7/2017 11:00,,29,college,female
xqd20160328,PAIDOFF,800,15,1/11/2017,1/25/2017,1/25/2017 12:00,,30,high school,male
xqd20160329,PAIDOFF,700,15,1/12/2017,1/26/2017,1/26/2017 13:00,,25,high school,female
xqd20160330,PAIDOFF,600,15,1/13/2017,1/27/2017,1/27/2017 14:00,,24,college,male
xqd20160331,PAIDOFF,500,15,1/14/2017,1/28/2017,1/28/2017 15:00,,26,college,female
xqd20160332,PAIDOFF,400,7,1/15/2017,1/21/2017,1/21/2017 16:00,,23,high school,male
xqd20160333,PAIDOFF,300,7,1/16/2017,1/22/2017,1/22/2017 17:00,,32,college,female
xqd20160334,PAIDOFF,200,7,1/17/2017,1/23/2017,1/23/2017 18:00,,28,high school,male
xqd20160335,PAIDOFF,100,7,1/18/2017,1/24/2017,1/24/2017 19:00,,35,high school,female
xqd20160336,COLLECTION,1000,30,1/19/2017,2/17/2017,,1,26,college,male
xqd20160337,COLLECTION,900,30,1/20/2017,2/18/2017,,2,29,college,female
xqd20160338,COLLECTION,800,15,1/21/2017,2/4/2017,,3,30,high school,male
xqd20160339,COLLECTION,700,15,1/22/2017,2/5/2017,,4,25,high school,female
xqd20160340,COLLECTION,600,15,1/23/2017,2/6/2017,,5,24,college,male
xqd20160341,COLLECTION,500,15,1/24/2017,2/7/2017,,6,26,college,female
xqd20160342,COLLECTION,400,7,1/25/2017,1/31/2017,,7,23,high school,male
xqd20160343,COLLECTION,300,7,1/26/2017,2/1/2017,,8,32,college,female
xqd20160344,COLLECTION,200,7,1/27/2017,2/2/2017,,9,28,high school,male
xqd20160345,COLLECTION,100,7,1/28/2017,2/3/2017,,10,35,high school,female
xqd20160346,COLLECTION_PAIDOFF,1000,30,1/29/2017,2/27/2017,2/26/2017 20:00,10,26,college,male
xqd20160347,COLLECTION_PAIDOFF,900,30,1/30/2017,2/28/2017,2/27/2017 21:00,10,29,college,female
xqd20160348,COLLECTION_PAIDOFF,800,15,1/31/2017,2/14/2017,2/14/2017 22:00,10,30,high school,male
xqd20160349,COLLECTION_PAIDOFF,700,15,2/1/2017,2/15/2017,2/15/2017 23:00,10,25,high school,female
xqd20160350,COLLECTION_PAIDOFF,600,15,2/2/2017,2/16/2017,2/16/2017 0:00,10,24,college,male
xqd20160351,COLLECTION_PAIDOFF,500,15,2/3/2017,2/17/2017,2/17/2017 1:00,10,26,college,female
xqd20160352,COLLECTION_PAIDOFF,400,7,2/4/2017,2/10/2017,2/10/2017 2:00,10,23,high school,male
xqd20160353,COLLECTION_PAIDOFF,300,7,2/5/2017,2/11/2017,2/11/2017 3:00,10,32,college,female
xqd20160354,COLLECTION_PAIDOFF,200,7,2/6/2017,2/12/2017,2/12/2017 4:00,10,28,high school,male
xqd20160355,COLLECTION_PAIDOFF,100,7,2/7/2017,2/13/2017,2/13/2017 5:00,10,35,high school,female
xqd20160356,PAIDOFF,1000,30,2/8/2017,3/9/2017,3/8/2017 6:00,,27,college,male
xqd20160357,PAIDOFF,900,30,2/9/2017,3/10/2017,3/9/2017 7:00,,29,college,female
xqd20160358,PAIDOFF,800,15,2/10/2017,2/24/2017,2/24/2017 8:00,,30,high school,male
xqd20160359,PAIDOFF,700,15,2/11/2017,2/25/2017,2/25/2017 9:00,,25,high school,female
xqd20160360,PAIDOFF,600,15,2/12/2017,2/26/2017,2/26/2017 10:00,,24,college,male
xqd20160361,PAIDOFF,500,15,2/13/2017,2/27/2017,2/27/2017 11:00,,26,college,female
xqd20160362,PAIDOFF,400,7,2/14/2017,2/20/2017,2/20/2017 12:00,,23,high school,male
xqd20160363,PAIDOFF,300,7,2/15/2017,2/21/2017,2/21/2017 13:00,,32,college,female
xqd20160364,PAIDOFF,200,7,2/16/2017,2/22/2017,2/22/2017 14:00,,28,high school,male
xqd20160365,PAIDOFF,100,7,2/17/2017,2/23/2017,2/23/2017 15:00,,35,high school,female
xqd20160366,COLLECTION,1000,30,2/18/2017,3/19/2017,,20,26,college,male
xqd20160367,COLLECTION,900,30,2/19/2017,3/20/2017,,21,29,college,female
xqd20160368,COLLECTION,800,15,2/20/2017,3/4/2017,,22,30,high school,male
xqd20160369,COLLECTION,700,15,2/21/2017,3/5/2017,,23,25,high school,female
xqd20160370,COLLECTION,600,15,2/22/2017,3/6/2017,,24,24,college,male
xqd20160371,COLLECTION,500,15,2/23/2017,3/7/2017,,25,26,college,female
xqd20160372,COLLECTION,400,7,2/24/2017,3/2/2017,,26,23,high school,male
xqd20160373,COLLECTION,300,7,2/25/2017,3/3/2017,,27,32,college,female
xqd20160374,COLLECTION,200,7,2/26/2017,3/4/2017,,28,28,high school,male
xqd20160375,COLLECTION,100,7,2/27/2017,3/5/2017,,29,35,high school,female
xqd20160376,COLLECTION_PAIDOFF,1000,30,2/28/2017,3/29/2017,3/29/2017 16:00,20,26,college,male
xqd20160377,COLLECTION_PAIDOFF,900,30,3/1/2017,3/30/2017,3/30/2017 17:00,21,29,college,female
xqd20160378,COLLECTION_PAIDOFF,800,15,3/2/2017,3/16/2017,3/16/2017 18:00,22,30,high school,male
xqd20160379,COLLECTION_PAIDOFF,700,15,3/3/2017,3/17/2017,3/17/2017 19:00,23,25,high school,female
xqd20160380,COLLECTION_PAIDOFF,600,15,3/4/2017,3/18/2017,3/18/2017 20:00,24,24,college,male
xqd20160381,COLLECTION_PAIDOFF,500,15,3/5/2017,3/19/2017,3/19/2017 21:00,25,26,college,female
xqd20160382,COLLECTION_PAIDOFF,400,7,3/6/2017,3/12/2017,3/12/2017 22:00,26,23,high school,male
xqd20160383,COLLECTION_PAIDOFF,300,7,3/7/2017,3/13/2017,3/13/2017 23:00,27,32,college,female
xqd20160384,COLLECTION_PAIDOFF,200,7,3/8/2017,3/14/2017,3/14/2017 0:00,28,28,high school,male
xqd20160385,COLLECTION_PAIDOFF,100,7,3/9/2017,3/15/2017,3/15/2017 1:00,29,35,high school,female
xqd20160386,PAIDOFF,1000,30,3/10/2017,4/8/2017,4/8/2017 2:00,,27,college,male
xqd20160387,PAIDOFF,900,30,3/11/2017,4/9/2017,4/9/2017 3:00,,29,college,female
xqd20160388,PAIDOFF,800,15,3/12/2017,3/26/2017,3/26/2017 4:00,,30,high school,male
xqd20160389,PAIDOFF,700,15,3/13/2017,3/27/2017,3/27/2017 5:00,,25,high school,female
xqd20160390,PAIDOFF,600,15,3/14/2017,3/28/2017,3/28/2017 6:00,,24,college,male
xqd20160391,PAIDOFF,500,15,3/15/2017,3/29/2017,3/29/2017 7:00,,26,college,female
xqd20160392,PAIDOFF,400,7,3/16/2017,3/22/2017,3/22/2017 8:00,,23,high school,male
xqd20160393,PAIDOFF,300,7,3/17/2017,3/23/2017,3/23/2017 9:00,,32,college,female
xqd20160394,PAIDOFF,200,7,3/18/2017,3/24/2017,3/24/2017 10:00,,28,high school,male
xqd20160395,PAIDOFF,100,7,3/19/2017,3/25/2017,3/25/2017 11:00,,35,high school,female
xqd20160396,COLLECTION,1000,30,3/20/2017,4/18/2017,,10,26,college,male
xqd20160397,COLLECTION,900,30,3/21/2017,4/19/2017,,11,29,college,female
xqd20160398,COLLECTION,800,15,3/22/2017,4/5/2017,,12,30,high school,male
xqd20160399,COLLECTION,700,15,3/23/2017,4/6/2017,,13,25,high school,female
xqd20160400,COLLECTION,600,15,3/24/2017,4/7/2017,,14,24,college,male
xqd20160401,COLLECTION,500,15,3/25/2017,4/8/2017,,15,26,college,female
xqd20160402,COLLECTION,400,7,3/26/2017,4/1/2017,,16,23,high school,male
xqd20160403,COLLECTION,300,7,3/27/2017,4/2/2017,,17,32,college,female
xqd20160404,COLLECTION,200,7,3/28/2017,4/3/2017,,18,28,high school,male
xqd20160405,COLLECTION,100,7,3/29/2017,4/4/2017,,19,35,high school,female
xqd20160406,COLLECTION_PAIDOFF,1000,30,3/30/2017,4/28/2017,4/28/2017 12:00,10,26,college,male
xqd20160407,COLLECTION_PAIDOFF,900,30,3/31/2017,4/29/2017,4/29/2017 13:00,10,29,college,female
xqd20160408,COLLECTION_PAIDOFF,800,15,4/1/2017,4/15/2017,4/15/2017 14:00,10,30,high school,male
xqd20160409,COLLECTION_PAIDOFF,700,15,4/2/2017,4/16/2017,4/16/2017 15:00,10,25,high school,female
xqd20160410,COLLECTION_PAIDOFF,600,15,4/3/2017,4/17/2017,4/17/2017 16:00,10,24,college,male
xqd20160411,COLLECTION_PAIDOFF,500,15,4/4/2017,4/18/2017,4/18/2017 17:00,10,26,college,female
xqd20160412,COLLECTION_PAIDOFF,400,7,4/5/2017,4/11/2017,4/11/2017 18:00,10,23,high school,male
xqd20160413,COLLECTION_PAIDOFF,300,7,4/6/2017,4/12/2017,4/12/2017 19:00,10,32,college,female
xqd20160414,COLLECTION_PAIDOFF,200,7,4/7/2017,4/13/2017,4/13/2017 20:00,10,28,high school,male
xqd20160415,COLLECTION_PAIDOFF,100,7,4/8/2017,4/14/2017,4/14/2017 21:00,10,35,high school,female
xqd20160416,PAIDOFF,1000,30,4/9/2017,5/8/2017,5/8/2017 22:00,,27,college,male
xqd20160417,PAIDOFF,900,30,4/10/2017,5/9/2017,5/9/2017 23:00,,29,college,female
xqd20160418,PAIDOFF,800,15,4/11/2017,4/25/2017,4/25/2017 0:00,,30,high school,male
xqd20160419,PAIDOFF,700,15,4/12/2017,4/26/2017,4/26/2017 1:00,,25,high school,female
xqd20160420,PAIDOFF,600,15,4/13/2017,4/27/2017,4/27/2017 2:00,,24,college,male
xqd20160421,PAIDOFF,500,15,4/14/2017,4/28/2017,4/28/2017 3:00,,26,college,female
xqd20160422,PAIDOFF,400,7,4/15/2017,4/21/2017,4/21/2017 4:00,,23,high school,male
xqd20160423,PAIDOFF,300,7,4/16/2017,4/22/2017,4/22/2017 5:00,,32,college,female
xqd20160424,PAIDOFF,200,7,4/17/2017,4/23/2017,4/23/2017 6:00,,28,high school,male
xqd20160425,PAIDOFF,100,7,4/18/2017,4/24/2017,4/24/2017 7:00,,35,high school,female
xqd20160426,PAIDOFF,1000,30,4/19/2017,5/18/2017,5/18/2017 8:00,,28,college,male
xqd20160427,PAIDOFF,900,30,4/20/2017,5/19/2017,5/19/2017 9:00,,26,college,female
xqd20160428,PAIDOFF,800,15,4/21/2017,5/5/2017,5/5/2017 10:00,,24,high school,male
xqd20160429,PAIDOFF,700,15,4/22/2017,5/6/2017,5/6/2017 11:00,,30,high school,female
xqd20160430,PAIDOFF,600,15,4/23/2017,5/7/2017,5/7/2017 12:00,,29,college,male
xqd20160431,PAIDOFF,500,15,4/24/2017,5/8/2017,5/8/2017 13:00,,31,college,female
xqd20160432,PAIDOFF,400,7,4/25/2017,5/1/2017,5/1/2017 14:00,,27,high school,male
xqd20160433,PAIDOFF,300,7,4/26/2017,5/2/2017,5/2/2017 15:00,,25,college,female
xqd20160434,PAIDOFF,200,7,4/27/2017,5/3/2017,5/3/2017 16:00,,23,high school,male
xqd20160435,PAIDOFF,100,7,4/28/2017,5/4/2017,5/4/2017 17:00,,32,college,female
xqd20160436,COLLECTION,1000,30,4/29/2017,5/28/2017,,5,26,college,male
xqd20160437,COLLECTION,900,30,4/30/2017,5/29/2017,,6,24,college,female
xqd20160438,COLLECTION,800,15,5/1/2017,5/15/2017,,7,28,high school,male
xqd20160439,COLLECTION,700,15,5/2/2017,5/16/2017,,8,30,high school,female
xqd20160440,COLLECTION,600,15,5/3/2017,5/17/2017,,9,29,college,male
xqd20160441,COLLECTION,500,15,5/4/2017,5/18/2017,,10,31,college,female
xqd20160442,COLLECTION,400,7,5/5/2017,5/11/2017,,11,27,high school,male
xqd20160443,COLLECTION,300,7,5/6/2017,5/12/2017,,12,25,college,female
xqd20160444,COLLECTION,200,7,5/7/2017,5/13/2017,,13,23,high school,male
xqd20160445,COLLECTION,100,7,5/8/2017,5/14/2017,,14,32,college,female
xqd20160446,COLLECTION_PAIDOFF,1000,30,5/9/2017,6/7/2017,6/7/2017 18:00,4,26,college,male
xqd20160447,COLLECTION_PAIDOFF,900,30,5/10/2017,6/8/2017,6/8/2017 19:00,4,24,college,female
xqd20160448,COLLECTION_PAIDOFF,800,15,5/11/2017,5/25/2017,5/25/2017 20:00,4,28,high school,male
xqd20160449,COLLECTION_PAIDOFF,700,15,5/12/2017,5/26/2017,5/26/2017 21:00,4,30,high school,female
xqd20160450,COLLECTION_PAIDOFF,600,15,5/13/2017,5/27/2017,5/27/2017 22:00,4,29,college,male
xqd20160451,COLLECTION_PAIDOFF,500,15,5/14/2017,5/28/2017,5/28/2017 23:00,4,31,college,female
xqd20160452,COLLECTION_PAIDOFF,400,7,5/15/2017,5/21/2017,5/21/2017 0:00,4,27,high school,male
xqd20160453,COLLECTION_PAIDOFF,300,7,5/16/2017,5/22/2017,5/22/2017 1:00,4,25,college,female
xqd20160454,COLLECTION_PAIDOFF,200,7,5/17/2017,5/23/2017,5/23/2017 2:00,4,23,high school,male
xqd20160455,COLLECTION_PAIDOFF,100,7,5/18/2017,5/24/2017,5/24/2017 3:00,4,32,college,female
xqd20160456,PAIDOFF,1000,30,5/19/2017,6/18/2017,6/18/2017 4:00,,28,college,male
xqd20160457,PAIDOFF,900,30,5/20/2017,6/19/2017,6/19/2017 5:00,,26,college,female
xqd20160458,PAIDOFF,800,15,5/21/2017,6/4/2017,6/4/2017 6:00,,24,high school,male
xqd20160459,PAIDOFF,700,15,5/22/2017,6/5/2017,6/5/2017 7:00,,30,high school,female
xqd20160460,PAIDOFF,600,15,5/23/2017,6/6/2017,6/6/2017 8:00,,29,college,male
xqd20160461,PAIDOFF,500,15,5/24/2017,6/7/2017,6/7/2017 9:00,,31,college,female
xqd20160462,PAIDOFF,400,7,5/25/2017,5/31/2017,5/31/2017 10:00,,27,high school,male
xqd20160463,PAIDOFF,300,7,5/26/2017,6/1/2017,6/1/2017 11:00,,25,college,female
xqd20160464,PAIDOFF,200,7,5/27/2017,6/2/2017,6/2/2017 12:00,,23,high school,male
xqd20160465,PAIDOFF,100,7,5/28/2017,6/3/2017,6/3/2017 13:00,,32,college,female
